API Function,Risk Level,Usage Count,Risk Scenario,Sample Files,Developer Recommendation
path,MEDIUM,2,Requires manual analysis for specific impact,system/HTTP/SiteURIFactory.php,Recommend configuring protection
parse_str,MEDIUM,2,Requires manual analysis for specific impact,system/HTTP/SiteURIFactory.php,Recommend configuring protection
routing,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
namespaces,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
backslash,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
var,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
methods,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
is_file,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
log_message,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
sprintf,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
addPlaceholder,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
set404Override,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
get404Override,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
shouldTranslateURIDashes,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
ksort,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
map,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
addRedirect,HIGH,1,Redirects - host header affects redirect destinations,system/Router/RouteCollection.php,Must configure trusted proxy and host validation
array_pop,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
head,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
options,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
cli,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
view,MEDIUM,1,Template rendering - host header influences template output,system/Router/RouteCollection.php,Recommend configuring protection
environment,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
substr_count,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
localizeRoute,HIGH,1,URL generation - host header influences generated URLs,system/Router/RouteCollection.php,Must configure trusted proxy and host validation
fillRouteParams,MEDIUM,1,URL generation/redirect - Host header affects generated URLs,system/Router/RouteCollection.php,Recommend configuring protection
method,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
abs,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
preg_replace,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
preg_replace_callback,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
str_ireplace,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
helper,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
is_numeric,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
subdomain,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
period,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
end,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
resetRoutes,MEDIUM,1,URL generation/redirect - Host header affects generated URLs,system/Router/RouteCollection.php,Recommend configuring protection
array_diff_key,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
array_unique,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
param,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
useSupportedLocalesOnly,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
shouldUseSupportedLocalesOnly,MEDIUM,1,Requires manual analysis for specific impact,system/Router/RouteCollection.php,Recommend configuring protection
run,MEDIUM,1,Requires manual analysis for specific impact,system/Commands/Utilities/Routes.php,Recommend configuring protection
SampleURIGenerator,MEDIUM,1,Requires manual analysis for specific impact,system/Commands/Utilities/Routes.php,Recommend configuring protection
DefinedRouteCollector,MEDIUM,1,URL generation/redirect - Host header affects generated URLs,system/Commands/Utilities/Routes.php,Recommend configuring protection
AutoRouteCollector,MEDIUM,1,URL generation/redirect - Host header affects generated URLs,system/Commands/Utilities/Routes.php,Recommend configuring protection
usort,MEDIUM,1,Requires manual analysis for specific impact,system/Commands/Utilities/Routes.php,Recommend configuring protection
strcmp,MEDIUM,1,Requires manual analysis for specific impact,system/Commands/Utilities/Routes.php,Recommend configuring protection
createFromGlobals,MEDIUM,1,Requires manual analysis for specific impact,system/HTTP/SiteURIFactory.php,Recommend configuring protection
createFromString,MEDIUM,1,Requires manual analysis for specific impact,system/HTTP/SiteURIFactory.php,Recommend configuring protection
filter_var,MEDIUM,1,Requires manual analysis for specific impact,system/HTTP/SiteURIFactory.php,Recommend configuring protection
pathinfo,MEDIUM,1,Requires manual analysis for specific impact,system/HTTP/SiteURIFactory.php,Recommend configuring protection
rawurldecode,MEDIUM,1,URL generation/redirect - Host header affects generated URLs,system/HTTP/SiteURIFactory.php,Recommend configuring protection
nothing,MEDIUM,1,Requires manual analysis for specific impact,system/HTTP/SiteURIFactory.php,Recommend configuring protection
string,MEDIUM,1,Requires manual analysis for specific impact,system/HTTP/SiteURIFactory.php,Recommend configuring protection
