API Function,Risk Level,Usage Count,Risk Scenario,Sample Files,Developer Recommendation
testGetSchemeAndHttpHost,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetQueryString,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
default,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetQueryStringReturnsNull,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetHost,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetPort,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetHostWithFakeHttpHostValue,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetSetMethod,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetClientIp,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetClientIps,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetClientIpsForwarded,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetClientIpsWithConflictingHeaders,MEDIUM,1,Response handling - Host header affects response content,Tests/RequestTest.php,Recommend configuring protection
testGetClientIpsOnlyXHttpForwardedForTrusted,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
array_reverse,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
explode,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetClientIpsWithAgreeingHeaders,MEDIUM,1,Response handling - Host header affects response content,Tests/RequestTest.php,Recommend configuring protection
testGetContentWorksTwiceInDefaultMode,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetContentReturnsResource,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
fread,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
feof,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetContentReturnsResourceWhenContentSetInConstructor,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testContentAsResource,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
fopen,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
fwrite,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
rewind,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetContentCanBeCalledTwiceWithResources,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
provideOverloadedMethods,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testToArrayEmpty,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testToArrayNonJson,MEDIUM,1,Response handling - Host header affects response content,Tests/RequestTest.php,Recommend configuring protection
testToArray,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetPayload,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testCreateFromGlobals,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
strtoupper,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testOverrideGlobals,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetScriptName,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetBasePath,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetPathInfo,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetParameterPrecedence,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetPreferredLanguage,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testPreferredLanguageWithLocales,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
providePreferredLanguage,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testIsXmlHttpRequest,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testIntlLocale,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetCharsets,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetEncodings,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetAcceptableContentTypes,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetLanguages,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
provideLanguages,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetAcceptHeadersReturnString,MEDIUM,1,Response handling - Host header affects response content,Tests/RequestTest.php,Recommend configuring protection
testGetRequestFormat,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testHasSession,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetSession,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testHasPreviousSession,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testToString,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testIsMethod,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testGetBaseUrl,HIGH,1,URL generation - host header influences generated URLs,Tests/RequestTest.php,Must configure trusted proxy and host validation
testBaseUriDetectionOnIisWithRewrite,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
baseUriDetectionOnIisWithRewriteData,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testUrlencodedStringPrefix,MEDIUM,1,URL generation/redirect - Host header affects generated URLs,Tests/RequestTest.php,Recommend configuring protection
ReflectionMethod,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
urlencodedStringPrefixData,MEDIUM,1,URL generation/redirect - Host header affects generated URLs,Tests/RequestTest.php,Recommend configuring protection
testTrustedProxiesXForwardedFor,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testTrustedProxiesForwarded,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testIISRequestUri,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
iisRequestUriProvider,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testTrustedHosts,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
catch,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testSetTrustedHostsDoesNotBreakOnSpecialCharacters,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
localhost,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testFactory,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
fn,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testFactoryCallable,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
createRequest,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testVeryLongHosts,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testHostValidity,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testMethodIdempotent,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
methodIdempotentProvider,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testMethodSafe,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
methodSafeProvider,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testMethodCacheable,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
methodCacheableProvider,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testProtocolVersion,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
protocolVersionProvider,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
nonstandardRequestsData,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testNonstandardRequests,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testTrustedHost,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testTrustedPrefix,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testTrustedPrefixWithSubdir,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
server,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testTrustedPrefixEmpty,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testTrustedPort,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testTrustedPortDoesNotDefaultToZero,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testTrustedProxiesRemoteAddr,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
trustedProxiesRemoteAddr,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testTrustedProxiesPrivateSubnets,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testTrustedValuesCache,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testPreferSafeContent,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
preferSafeContentData,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
testReservedFlags,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
sprintf,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
http_build_query,MEDIUM,1,Requires manual analysis for specific impact,Tests/RequestTest.php,Recommend configuring protection
